,asin,num_ratings,photo_url,price,rank,star_rating,title,url,department,page
0,B0CJM1GNFQ,"51,377","https://images-na.ssl-images-amazon.com/images/I/51s-dIOI5zL._AC_UL300_SR300,200_.jpg",$34.99,1,4.7,"Amazon Fire TV Stick 4K (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free & live TV",https://www.amazon.com/Amazon-Fire-TV-Stick-4K-streaming-device/dp/B0CJM1GNFQ/ref=zg_bs_g_amazon-devices_d_sccl_1/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
1,B0CQMRKRV5,"3,583","https://images-na.ssl-images-amazon.com/images/I/51GHEdUznQL._AC_UL300_SR300,200_.jpg",$29.99,2,4.6,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",https://www.amazon.com/amazon-fire-tv-stick-hd/dp/B0CQMRKRV5/ref=zg_bs_g_amazon-devices_d_sccl_2/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
2,B0BP9SNVH9,"42,696","https://images-na.ssl-images-amazon.com/images/I/518n2Z-ETbL._AC_UL300_SR300,200_.jpg",$44.99,3,4.6,"Amazon Fire TV Stick 4K Max (newest model), our most powerful 4K streaming stick with Wi-Fi 6E support, 16GB Storage, free and live tv",https://www.amazon.com/all-new-amazon-fire-tv-stick-4k-max/dp/B0BP9SNVH9/ref=zg_bs_g_amazon-devices_d_sccl_3/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
3,B0CFPJYX7P,"2,114","https://images-na.ssl-images-amazon.com/images/I/61MdbBO+SEL._AC_UL300_SR300,200_.jpg",$159.99,4,4.4,"All-new Amazon Kindle Paperwhite (16 GB) – Our fastest Kindle ever, with new 7"" glare-free display and weeks of battery life – Black",https://www.amazon.com/All-new-Amazon-Kindle-Paperwhite-glare-free/dp/B0CFPJYX7P/ref=zg_bs_g_amazon-devices_d_sccl_4/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
4,B0BZWRSRWV,"4,139","https://images-na.ssl-images-amazon.com/images/I/61vE894jVGL._AC_UL300_SR300,200_.jpg",$99.99,5,4.5,"All-new Ring Battery Doorbell, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Satin Nickel",https://www.amazon.com/Ring-Battery-Doorbell-Head-to-Toe-Video-Satin-Nickel/dp/B0BZWRSRWV/ref=zg_bs_g_amazon-devices_d_sccl_5/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
5,B09B8V1LZ3,"140,574","https://images-na.ssl-images-amazon.com/images/I/710exCeNPJL._AC_UL300_SR300,200_.jpg",$49.99,6,4.6,"Amazon Echo Dot (newest model), With bigger vibrant sound, helpful routines and Alexa, Charcoal",https://www.amazon.com/Amazon-vibrant-helpful-routines-Charcoal/dp/B09B8V1LZ3/ref=zg_bs_g_amazon-devices_d_sccl_6/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
6,B08SG2MS3V,"156,317","https://images-na.ssl-images-amazon.com/images/I/41te-uzWxDL._AC_UL300_SR300,200_.jpg",$59.99,7,4.2,"Blink Video Doorbell (newest model), Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",https://www.amazon.com/Blink-Video-Doorbell/dp/B08SG2MS3V/ref=zg_bs_g_amazon-devices_d_sccl_7/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
7,B09L45VFCN,"40,842","https://images-na.ssl-images-amazon.com/images/I/61OIHg12JiL._AC_UL300_SR300,200_.jpg",$34.99,8,4.6,Ring Chime,https://www.amazon.com/Ring-Chime/dp/B09L45VFCN/ref=zg_bs_g_amazon-devices_d_sccl_8/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
8,B0CNVCQZG1,"1,489","https://images-na.ssl-images-amazon.com/images/I/51jbB7VdmmL._AC_UL300_SR300,200_.jpg",$109.99,9,4.5,"New Amazon Kindle (16 GB) - Lightest and most compact Kindle, with glare-free display, faster page turns, adjustable front light, and long battery life - Matcha",https://www.amazon.com/Amazon-Kindle/dp/B0CNVCQZG1/ref=zg_bs_g_amazon-devices_d_sccl_9/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
9,B07X6C9RMF,"296,367","https://images-na.ssl-images-amazon.com/images/I/31k4JysPQ5L._AC_UL300_SR300,200_.jpg",$29.99,10,4.4,"Blink Mini - Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",https://www.amazon.com/Blink-Mini-White-1Cam/dp/B07X6C9RMF/ref=zg_bs_g_amazon-devices_d_sccl_10/144-5451170-7524417?psc=1,Amazon Devices & Accessories,1
